sweep,phi,x_h2_energy,T0_K,p0_bar,S_L_cm_s
phi,0.5,0.0,450.0,5.0,5.524677202360766
phi,0.6285714285714286,0.0,450.0,5.0,14.522623832842529
phi,0.7571428571428571,0.0,450.0,5.0,25.71617889919573
phi,0.8857142857142857,0.0,450.0,5.0,35.33794614958995
phi,1.0142857142857142,0.0,450.0,5.0,40.74803898935112
phi,1.1428571428571428,0.0,450.0,5.0,38.39623344530387
phi,1.2714285714285714,0.0,450.0,5.0,25.98002020115596
phi,1.4,0.0,450.0,5.0,17.405645060991255
phi,0.5,0.3,450.0,5.0,10.098588798198358
phi,0.6285714285714286,0.3,450.0,5.0,26.560005044123784
phi,0.7571428571428571,0.3,450.0,5.0,45.86974764079135
phi,0.8857142857142857,0.3,450.0,5.0,63.58324333404835
phi,1.0142857142857142,0.3,450.0,5.0,76.45198016136123
phi,1.1428571428571428,0.3,450.0,5.0,78.89700941198011
phi,1.2714285714285714,0.3,450.0,5.0,64.54680663286052
phi,1.4,0.3,450.0,5.0,41.15055944786778
phi,0.5,0.6,450.0,5.0,18.88855288834053
phi,0.6285714285714286,0.6,450.0,5.0,48.45346213479737
phi,0.7571428571428571,0.6,450.0,5.0,84.12321035377968
phi,0.8857142857142857,0.6,450.0,5.0,120.79439835815514
phi,1.0142857142857142,0.6,450.0,5.0,151.33380720965098
phi,1.1428571428571428,0.6,450.0,5.0,168.29719898923366
phi,1.2714285714285714,0.6,450.0,5.0,163.13556661375264
phi,1.4,0.6,450.0,5.0,133.97175673030034
phi,0.5,1.0,450.0,5.0,46.4818427198784
phi,0.6285714285714286,1.0,450.0,5.0,120.02779771262098
phi,0.7571428571428571,1.0,450.0,5.0,218.90906658441835
phi,0.8857142857142857,1.0,450.0,5.0,321.60642788497535
phi,1.0142857142857142,1.0,450.0,5.0,408.6866393870063
phi,1.1428571428571428,1.0,450.0,5.0,474.0336010223886
phi,1.2714285714285714,1.0,450.0,5.0,519.7778286776004
phi,1.4,1.0,450.0,5.0,548.8468968835738
h2,1.0,0.0,450.0,5.0,40.64295677665981
h2,1.0,0.1,450.0,5.0,49.56483682897475
h2,1.0,0.2,450.0,5.0,60.64265457399777
h2,1.0,0.3,450.0,5.0,75.14530173418645
h2,1.0,0.4,450.0,5.0,93.91684544753495
h2,1.0,0.5,450.0,5.0,117.92408147361108
h2,1.0,0.6000000000000001,450.0,5.0,149.29218755897364
h2,1.0,0.7000000000000001,450.0,5.0,190.47172234203384
h2,1.0,0.8,450.0,5.0,244.73282846921973
h2,1.0,0.9,450.0,5.0,314.61459745358286
h2,1.0,1.0,450.0,5.0,400.36580173797415
