sweep,phi,x_h2_energy,T0_K,p0_bar,T_ad_K,EINOx_g_per_kg
phi,0.5,0.0,700.0,20.0,1799.7265340010024,0.06074558172000125
phi,0.6,0.0,700.0,20.0,1975.4499991768703,0.9920739059613651
phi,0.7,0.0,700.0,20.0,2138.8690122953185,8.777551896247653
phi,0.8,0.0,700.0,20.0,2288.799408572623,43.23075467275526
phi,0.9,0.0,700.0,20.0,2419.575993760758,101.34232535854227
phi,1.0,0.0,700.0,20.0,2507.7522224040968,80.76509007912837
phi,1.1,0.0,700.0,20.0,2498.2628799534473,25.192712373114382
phi,1.2000000000000002,0.0,700.0,20.0,2429.214322594039,6.268604644255918
phi,1.3,0.0,700.0,20.0,2351.503405381729,1.4522590271935845
phi,0.5,0.3,700.0,20.0,1847.2188608857537,0.16929405415576215
phi,0.6,0.3,700.0,20.0,2026.4660857360768,2.5852412392851942
phi,0.7,0.3,700.0,20.0,2191.6970953636637,20.83508787393616
phi,0.8,0.3,700.0,20.0,2341.800469443184,89.28649283544503
phi,0.9,0.3,700.0,20.0,2471.3296811895243,166.1172954640869
phi,1.0,0.3,700.0,20.0,2558.6439251300717,110.40367259487704
phi,1.1,0.3,700.0,20.0,2559.080060388247,38.9237238202474
phi,1.2000000000000002,0.3,700.0,20.0,2504.572128759491,12.834035377965646
phi,1.3,0.3,700.0,20.0,2439.767638515569,4.451005079875953
phi,0.5,0.6,700.0,20.0,1898.1274697196427,0.5045591303595119
phi,0.6,0.6,700.0,20.0,2080.6520563154327,7.099093648567846
phi,0.7,0.6,700.0,20.0,2247.359867859011,51.159412802820086
phi,0.8,0.6,700.0,20.0,2397.489653492351,182.62610990594402
phi,0.9,0.6,700.0,20.0,2526.2051865426274,254.24265166562128
phi,1.0,0.6,700.0,20.0,2613.4053065240955,147.33939622443168
phi,1.1,0.6,700.0,20.0,2621.919168042721,57.55367584110545
phi,1.2000000000000002,0.6,700.0,20.0,2580.9176502904816,22.57904305338252
phi,1.3,0.6,700.0,20.0,2528.7544385140754,9.87473175278266
phi,0.5,1.0,700.0,20.0,1971.8821401146201,2.531352245317111
phi,0.6,1.0,700.0,20.0,2158.2728507153624,31.082419714957506
phi,0.7,1.0,700.0,20.0,2326.5064544775673,184.59342658227214
phi,0.8,1.0,700.0,20.0,2476.9337094460006,462.6647365723493
phi,0.9,1.0,700.0,20.0,2606.1510600630186,429.9151067716415
phi,1.0,1.0,700.0,20.0,2694.262580947752,232.66020049538182
phi,1.1,1.0,700.0,20.0,2709.6398306286096,103.35935648865166
phi,1.2000000000000002,1.0,700.0,20.0,2683.583769219329,49.35770668156918
phi,1.3,1.0,700.0,20.0,2646.7893228416087,26.134719835006713
h2,0.7,0.0,700.0,20.0,2138.8690122953185,8.777551896247653
h2,0.7,0.1,700.0,20.0,2156.1771708896786,11.672002394895713
h2,0.7,0.2,700.0,20.0,2173.7841013100274,15.56841330322926
h2,0.7,0.30000000000000004,700.0,20.0,2191.6970953636637,20.83508787393616
h2,0.7,0.4,700.0,20.0,2209.9245961728525,27.98692247516967
h2,0.7,0.5,700.0,20.0,2228.475300977399,37.74982268319548
h2,0.7,0.6000000000000001,700.0,20.0,2247.359867859011,51.159412802820086
h2,0.7,0.7000000000000001,700.0,20.0,2266.5905841790805,69.71350992973748
h2,0.7,0.8,700.0,20.0,2286.180354740188,95.61518425312832
h2,0.7,0.9,700.0,20.0,2306.1462628582954,132.18669075743668
h2,0.7,1.0,700.0,20.0,2326.5064544775673,184.59342658227214
